"","Longitude","Latitude","AreaKM2","prediction"
"187",-77.95952137,72.94817546,13956.36658,0
"188",178.4717352,69.69882449,9508.93282,0
"189",146.0000115,52.02261086,122178.9993,10
"190",38.00001146,-35.97738914,160083.8017,0
"191",166.0041905,-67.97924839,74431.52143,0
"192",-53.99998854,40.02261086,151626.0231,0
"193",-113.9999885,-31.97738914,167655.0628,0
"194",-134.3123896,55.56880819,70469.59767,33
"195",-141.9999885,44.02261086,142506.9822,0
"196",165.9543502,-15.99570073,182207.8668,62
"197",-1.999988541,-39.97738914,151724.8938,0
"198",-169.9999885,0.022610864,196906.2159,14
"199",-81.89972865,16.10672797,178430.7004,152
"200",72.42284406,19.81627886,35127.21608,342
"201",-29.99998854,-59.97738914,99515.12208,0
"202",134.0000115,40.02261086,151626.0232,29
"203",50.00001146,-55.97738914,111191.639,0
"204",-170.0197871,52.00303707,120088.3123,14
"205",-58.57359854,81.7693923,500.5610781,0
"206",-69.88478288,72.36243438,49097.58806,0
"207",-96.6556298,27.1872715,34967.02013,181
"208",17.92812,-36.06367709,152173.9234,166
"209",82.00001146,-23.97738914,180312.2014,0
"210",-152.9139565,59.08122925,21689.94623,14
"211",6.000011459,-27.97738914,174407.0449,0
"212",-9.999988541,64.02261086,87187.46134,38
"213",138.0000115,-59.97738914,99515.12206,0
"214",98.00001146,84.02261086,20778.85581,0
"215",-73.99998854,-31.97738914,167655.0629,76
"216",165.9566819,69.80535529,7077.02361,0
"217",158.0000115,48.02261086,132676.5593,5
"218",54.20603343,15.52636519,137692.4358,262
"219",157.9995854,-11.9775079,192687.7134,90
"220",158.0000115,32.02261086,167573.9896,0
"221",10.00001146,-39.97738914,151724.8938,0
"222",-169.9999885,-63.97738914,87327.93592,0
"223",-117.9999885,-35.97738914,160083.8017,0
"224",-9.999988541,-67.97738914,74689.9595,0
"225",154.0000115,-55.97738914,111191.639,0
"226",-145.9999885,4.022610864,196434.0627,0
"227",-157.9999885,-63.97738914,87327.9359,0
"228",-81.99998854,-15.97738914,189491.6891,0
"229",-137.9999885,-63.97738914,87327.93592,0
"230",-137.9999885,8.022610864,195029.8994,0
"231",-29.99998854,28.02261086,174335.3955,0
"232",-133.9999885,0.022610864,196906.2159,0
"233",-77.94500544,-71.74106079,54048.66283,0
"234",-129.9999885,-15.97738914,189491.6891,0
"235",66.00001146,-35.97738914,160083.8016,0
"236",74.00034763,-7.977528124,195008.928,24
"237",-157.9999902,-7.97730525,195034.9023,33
"238",6.000011459,-55.97738914,111191.639,0
"239",102.4769658,0.334377082,37709.23621,381
"240",-125.4802532,69.74625751,4786.923897,0
"241",-9.999988541,0.022610864,196906.2158,0
"242",-53.98624299,84.13355199,19245.27955,0
"243",-161.9999885,-31.97738914,167655.0629,0
"244",-73.99191424,24.03404499,177760.0238,119
"245",-54.09636403,-79.92200861,31709.23589,0
"246",-9.999988541,-15.97738914,189491.6891,0
"247",6.000011459,68.02261086,74544.74403,24
"248",162.0000177,8.022600292,195028.7223,33
"249",-137.9999885,-39.97738914,151724.8938,0
"250",-129.9999885,-7.977389136,195050.9669,0
"251",-145.9999885,-59.97738914,99515.12208,0
"252",-10.07971318,56.12108887,104452.2905,90
"253",-25.99998854,0.022610864,196906.2159,0
"254",-93.99998854,24.02261086,180250.2648,133
"255",-9.999988541,-31.97738914,167655.0628,0
"256",90.00001146,8.022610864,195029.8994,52
"257",-41.99998854,-63.97738914,87327.93592,0
"258",-153.9999885,-55.97738914,111191.639,0
"259",153.9999475,8.022581727,194985.5096,38
"260",-106.0693222,-74.61448966,16778.90101,0
"261",146.0020817,76.085457,44030.7918,0
"262",-69.84534312,79.61710652,13751.03609,0
"263",126.0000115,20.02261086,185294.9958,0
"264",162.0000115,-23.97738914,180312.2015,10
"265",-119.5917391,34.19741676,2955.255504,133
"266",37.98455038,-67.85574453,70196.97204,0
"267",-118.1092851,-74.27669059,6327.322572,0
"268",117.9915582,-7.848129941,168803.3062,347
"269",-169.9999885,20.02261086,185294.9959,0
"270",-165.9999885,-19.97738914,185346.9753,0
"271",-33.99998854,-31.97738914,167655.0629,5
"272",-93.99998854,-59.97738914,99515.12208,0
"273",-129.9999885,84.02261086,20778.85581,0
"274",162.0045895,72.02747089,61276.00515,0
"275",154.0000115,-43.97738914,142614.132,0
"276",38.00001146,72.02261086,61515.16273,10
"277",82.00001146,-43.97738914,142614.132,0
"278",-105.9999885,-3.977389136,196444.6159,0
"279",170.0000115,-67.97738914,74689.9595,0
"280",-77.99998854,-51.97738914,122301.2318,52
"281",-81.99998854,-11.97738914,192730.4345,10
"282",94.00001146,-23.97738914,180312.2014,0
"283",66.00001146,-23.97738914,180312.2014,0
"284",-129.9378045,-74.40149782,10709.15466,0
"285",-161.9999885,44.02261086,142506.9822,0
"286",-37.99998854,28.02261086,174335.3954,0
"287",74.00022314,4.022581755,196367.3912,124
"288",114.1420482,-8.010086532,154833.4069,400
"289",-173.9974719,-19.9761759,184773.8213,48
"290",118.4796001,23.37409625,103635.3051,499
"291",118.0000115,-47.97738914,132791.5122,0
"292",106.0000115,-23.97738914,180312.2015,0
"293",178.0206217,-35.91559755,154987.4071,62
"294",-141.9999885,-63.97738914,87327.9359,0
"295",-149.9911755,72.23558135,54322.05471,0
"296",-161.9999885,-3.977389136,196444.6159,0
"297",-76.42160832,38.61868254,4999.74187,128
"298",66.00001146,0.022610864,196906.2158,0
"299",82.00001146,-39.97738914,151724.8937,0
"300",-173.9999885,-79.97738914,34717.48717,0
"301",42.00001146,-31.97738914,167655.0629,14
"302",178,60.02261086,99379.51582,5
"303",-81.99998854,-23.97738914,180312.2014,0
"304",-138.000174,-19.97753078,185295.6034,52
"305",-21.99998854,44.02261086,142506.9822,0
"306",146.6226982,-15.74140829,124572.0368,295
"307",70.00001146,-55.97738914,111191.639,0
"308",165.999998,20.02262634,185291.0797,10
"309",62.00001146,-63.97738914,87327.93592,0
"310",158.0000115,-59.97738914,99515.12208,0
"311",2.000011459,-47.97738914,132791.5122,0
"312",178,4.022610864,196432.9372,0
"313",-121.9999885,-39.97738914,151724.8938,0
"314",87.95601879,22.31486146,56.53382004,0
"315",-153.9999885,0.022610864,196906.2159,0
"316",-79.41359521,52.65101389,22346.98627,0
"317",134.0000115,16.02261086,189449.8681,0
"318",-149.9999885,-63.97738914,87327.93592,0
"319",-49.73916727,4.188582753,166948.1787,181
"320",-89.77008474,57.47582773,27833.67271,0
"321",-129.9999885,28.02261086,174335.3955,0
"322",-30.00001281,-19.97736824,185340.3956,0
"323",-165.9999885,-35.97738914,160083.8017,0
"324",10.00001146,-67.97738914,74689.95952,0
"325",-37.99998854,-27.97738914,174407.0449,5
"326",134.0000115,20.02261086,185294.9959,0
"327",-45.99998854,40.02261086,151626.0232,0
"328",-21.99998854,40.02261086,151626.0231,0
"329",137.9999465,8.02189791,194937.1264,29
"330",61.67486564,69.59732624,6981.755061,0
"331",-105.9999885,-59.97738914,99515.12208,0
"332",38.00001146,76.02261086,48164.88123,5
"333",-125.9999885,-67.97738914,74689.9595,0
"334",-22.01193019,-71.95946241,61127.61384,0
"335",-153.9999885,40.02261086,151626.0232,0
"336",-25.99998854,-27.97738914,174407.0449,0
"337",-82.04904949,-8.031710615,189140.5621,176
"338",119.0280587,38.78875047,28961.24096,133
"339",49.94326753,69.02040926,29388.87691,0
"340",-169.9999946,16.02260157,189447.4124,24
"341",-144.8542782,70.00479138,111.3098742,0
"342",162.855343,55.55599452,50911.15111,5
"343",122.0000115,-51.97738914,122301.2318,0
"344",-5.999988541,84.02261086,20778.85581,0
"345",113.9999563,12.02268181,192688.7448,128
"346",62.00001146,0.022610864,196906.2159,0
"347",-101.9999885,-63.97738914,87327.93592,0
"348",10.00001146,-31.97738914,167655.0629,0
"349",52.4735257,44.10914077,10147.42038,0
"350",78.00001146,-31.97738914,167655.0629,0
"351",-13.99998854,-15.97738914,189491.6891,0
"352",-61.9672714,48.082086,114247.0282,24
"353",50.12191729,28.08551543,105516.4578,252
"354",-129.9999885,24.02261086,180250.2648,0
"355",-173.9999885,56.02261086,111062.6969,5
"356",-86.51070646,68.55282609,31766.24845,0
"357",-5.999988541,-59.97738914,99515.12208,0
"358",162.0000115,44.02261086,142506.9822,0
"359",41.85382837,-24.05829182,166115.7123,166
"360",-1.999988541,-63.97738914,87327.93592,0
"361",130.0000115,8.022610864,195029.8994,5
"362",-41.97235684,-79.80655398,28995.78897,0
"363",34.00704783,80.02177304,34369.15408,0
"364",126.5154259,8.196719853,117024.6708,276
"365",77.78838211,-67.43278992,53710.77449,0
"366",82.00001146,-31.97738914,167655.0628,0
"367",106.0000115,-15.97738914,189491.6891,0
